question,unit,difficulty
"함수 f(x)=x^2의 x=1에서의 극한값을 구하여라.","함수의 극한과 연속",1
"함수의 극한 lim(x→2)(x^2-4)/(x-2)의 값을 구하여라.","함수의 극한과 연속",1
"함수 f(x)가 x=1에서 연속이 되도록 하는 상수 a의 값을 구하여라.","함수의 극한과 연속",2
"함수 f(x)의 그래프를 이용하여 주어진 극한값을 구하여라.","함수의 극한과 연속",2
"두 함수의 극한을 이용하여 조건을 만족하는 상수의 값을 구하여라.","함수의 극한과 연속",3
"여러 조건을 만족하는 함수의 연속성을 이용하여 미지수의 값을 구하여라.","함수의 극한과 연속",4
"함수의 연속성과 극한의 성질을 종합적으로 이용하여 옳은 것을 구하여라.","함수의 극한과 연속",5
"함수 f(x)=x^2의 도함수를 구하여라.","미분",1
"함수 f(x)=x^3의 x=2에서의 미분계수를 구하여라.","미분",1
"함수 f(x)=x^3-3x의 증가와 감소를 조사하여라.","미분",2
"함수의 접선의 방정식을 구하여라.","미분",2
"삼차함수의 극댓값과 극솟값을 구하여라.","미분",3
"도함수를 이용하여 함수의 그래프의 개형을 구하여라.","미분",3
"매개변수를 포함하는 함수의 극대와 극소를 이용하여 조건을 만족하는 값을 구하여라.","미분",4
"도함수와 함수의 그래프에 대한 여러 조건을 종합하여 매개변수의 값을 구하여라.","미분",5
"함수 f(x)의 부정적분을 구하여라.","적분",1
"다항함수의 부정적분을 구하여라.","적분",1
"정적분의 값을 계산하여라.","적분",2
"두 함수 사이의 넓이를 정적분을 이용하여 구하여라.","적분",2
"함수의 그래프와 x축으로 둘러싸인 넓이를 구하여라.","적분",3
"정적분을 이용하여 두 함수가 이루는 넓이를 구하여라.","적분",3
"함수의 조건과 정적분을 종합하여 매개변수의 값을 구하여라.","적분",4
"정적분과 함수의 성질을 종합적으로 이용하여 조건을 만족하는 값을 구하여라.","적분",5
